time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
1.349968672,46.77512,52.11342,8.218335,20.43260384,6.1821227,6.311555,177.4460297,177.0477142,175.2000732,171.83485,145.9398,139.61513,155.76712,174.7059
1.399945974,42.94393,53.172462,8.116821,14.3812685,7.155301,7.242319,177.044342,175.4862823,176.493042,169.93695,147.06123,139.7205,162.74857,173.24236
1.450431824,37.76711,47.58501,12.517029,26.55812454,10.473749,10.508184,176.817627,177.2234802,179.8846436,170.69627,155.30536,147.11876,175.09027,156.95798
1.501997471,40.358208,51.376263,18.138628,29.83639526,11.859548,11.8849945,176.4893799,178.7846832,178.7963257,172.00261,159.42711,149.75734,172.29349,152.60295
1.551996946,40.48509,53.684128,23.984985,30.02335167,12.151984,12.225936,176.3675079,178.2196198,177.7463837,173.32634,158.3713,150.98349,172.14601,149.27599
1.600990295,41.189865,55.581028,25.962765,29.53914833,11.744335,11.950615,177.1838684,176.8943481,176.5031738,172.6903,160.39233,148.46977,170.36046,153.23672
1.650059462,42.25814,61.910854,30.5898,29.53050232,11.499527,11.729361,177.2024841,174.9814606,176.6045837,171.42578,160.38391,147.36595,171.81137,164.20407
1.700950384,44.295856,72.79786,32.373493,29.48467255,11.81895,12.167208,177.9689484,175.360611,177.1999054,171.72504,160.39238,146.25153,169.52443,159.20903
1.750991583,44.148384,105.446396,28.96121,30.98552704,9.7814865,9.9963875,177.8040161,177.8090973,176.4163513,179.5306,140.97395,133.08476,169.88062,140.14723
1.800977707,43.485115,106.90949,27.510857,30.63849258,7.9733872,8.162361,177.8235321,175.9798889,176.3093109,178.56795,137.8254,125.255936,169.57054,146.34178
1.854034424,44.268944,131.9756,24.382935,9.668878555,6.925264,7.194647,177.3214569,175.9320374,177.5818329,178.6888,139.11414,128.98889,163.89085,120.739006
1.901013136,43.054737,109.93788,12.991739,4.72894907,5.109369,5.5254183,177.7285767,177.0290833,179.28508,177.12329,134.07796,122.9661,160.3632,127.92498
1.951975346,76.97034,41.1571,6.7188973,3.542099953,5.176951,5.089736,176.8541412,177.4230499,179.1843414,175.43626,133.81714,122.99667,170.48965,172.59518
2.000956535,47.532734,55.284668,15.983079,17.78065681,5.246354,5.0657744,175.5335693,177.8513184,179.6573486,174.24185,128.16273,121.45831,170.33531,155.22195
2.050039053,45.021168,50.44779,27.849415,24.72943687,5.432999,5.06821,174.8209229,179.1157379,179.7230377,173.12396,129.39664,122.97832,174.37628,178.5172
2.100961685,50.63043,52.350693,29.600262,34.21839523,3.6522155,3.461475,175.8250885,178.6611786,179.9314575,173.6371,128.20667,122.294846,153.76884,167.433
2.149950743,48.657753,59.14068,29.684069,31.49008942,4.115135,3.8658907,175.7735748,177.60672,179.5281067,174.54184,134.12848,129.48247,153.25804,155.5495
2.200960636,48.792526,54.703316,29.861076,35.08588028,2.4371078,2.3442664,176.3423004,178.3662415,179.0430298,174.42563,135.8151,128.79915,152.5771,157.21414
2.251970768,47.32557,54.000618,30.360435,38.58557129,2.5766344,2.5019414,176.9838257,177.9356842,178.6008606,174.49992,135.47992,128.175,150.8993,156.13814
2.300946712,43.12607,53.19837,32.929134,42.97393417,2.106636,2.1128514,178.1122742,177.9334869,178.1881256,174.61859,130.97148,123.72047,166.90083,159.1189
2.349945307,43.90588,54.301067,33.897305,44.58218002,2.6202497,2.652325,178.6652832,179.3039398,178.1166229,173.5534,131.4415,126.48459,167.48041,166.37471
2.400990963,44.29181,60.41469,31.10218,45.48480988,5.0319357,4.8660274,178.6991272,178.1514435,178.1114502,175.0979,139.38417,134.43108,160.27473,163.01952
2.449995995,43.165394,62.35304,28.330029,40.92419815,6.4373612,5.9880514,178.7311096,179.0002289,177.9671173,174.8595,147.0784,141.85104,164.49316,175.80693
