time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
1.367182016,6.5714574,3.5071032,26.522202,60.134552,16.95042,17.375006,178.49649,179.9406433,179.28044,172.3347,171.32884,166.17697,171.8306122,156.97899
1.4161098,5.7387657,2.8624542,27.072845,56.15193,17.162373,17.312653,178.27919,179.2834473,179.3608,173.10468,170.96478,166.31961,170.1713562,154.95021
1.464098454,5.5052714,3.4905953,28.194942,53.143528,17.199495,17.179806,177.71594,179.4188385,178.67601,173.74081,172.20078,166.14508,170.295929,151.63875
1.515152931,4.5102797,3.9831007,28.42316,49.6906,17.277546,17.195072,177.39833,178.5550232,179.13113,173.95898,171.20479,167.0087,169.4762726,152.87346
1.564121246,3.3858747,3.6617458,28.537884,44.93692,17.051662,16.842154,177.5786,178.5145721,178.45451,174.3584,170.45973,166.70853,169.9998169,154.38507
1.612864733,2.361403,1.8036338,24.082481,31.637852,16.707329,16.662914,177.16772,178.8329773,176.62036,175.49857,170.2553,169.04832,178.3529968,169.93243
1.664168119,5.1617136,2.7368093,21.54104,28.374937,16.749971,16.938866,176.98538,179.1461334,175.34279,176.08533,170.37251,171.23488,178.7642365,168.48383
1.714109421,7.659013,3.2426853,19.24301,26.435175,16.951591,17.2878,177.41873,179.4987488,175.39047,176.05061,169.77731,172.34047,175.9582672,164.06636
1.765041113,9.1398535,3.128439,17.797245,24.590092,17.129717,17.603666,178.21402,179.5488892,175.69514,176.05919,170.23967,175.88686,175.2605286,163.15065
1.814128637,11.368809,2.1513138,16.741365,22.680964,16.958828,17.592789,178.5139,179.4373169,176.3668,175.90077,169.77776,174.90268,174.4672699,162.58092
1.867102861,12.259755,1.6263025,16.603535,20.028606,16.976978,17.680561,179.08037,179.7316437,177.56691,175.48889,168.27214,175.7224,174.4350281,164.96574
1.915192366,11.166094,2.3440995,18.031244,13.404552,16.658913,17.445873,178.78711,178.0518646,176.93604,175.07303,167.02167,178.178,173.4825592,147.96974
1.964050531,11.296111,67.91305,18.376602,12.000879,16.26788,17.232405,179.30817,177.3491516,176.7517,174.81238,164.69466,178.65942,172.3553619,155.86559
2.014113903,11.235347,150.29079,18.671,7.1706934,16.103415,17.194529,179.84297,177.0044708,176.58772,174.92784,162.62065,179.88985,173.4062195,81.47627
2.064161301,12.419352,155.2935,18.228825,6.094742,16.303255,17.390326,179.71675,176.4098969,176.88647,174.33846,161.3791,179.72446,173.0411224,175.82036
2.114168406,13.018812,150.15271,18.140339,5.6727095,16.59806,17.679976,179.31699,176.8492279,176.14049,174.29497,163.06538,175.88261,174.0944519,140.19102
2.164091349,11.016351,153.25163,19.961802,9.671927,16.806864,17.890373,178.11145,178.4267883,175.94208,174.5595,165.17227,173.30359,177.1209564,129.1653
2.21608901,3.1033704,3.9582934,28.692429,44.777664,15.874121,17.008366,176.11761,177.8389587,174.59335,172.99002,169.20705,169.75941,177.7887421,147.27267
2.262810469,0.6110179,6.8836164,30.544785,58.729153,15.674414,16.835222,175.31859,177.8591614,174.79575,172.00046,172.75732,166.82755,175.7727814,160.71638
2.316112518,3.4158108,21.339817,31.99051,69.83355,16.370626,17.320889,176.75308,178.6853638,176.76631,171.58603,170.65454,166.93883,172.6966248,141.30783
2.364125013,2.1059856,12.65253,30.807877,72.4996,16.42121,17.062187,177.1311,179.1495667,176.88849,171.64035,170.56209,165.2498,179.2446136,152.66995
2.414025545,3.6202838,2.9519417,30.347622,70.5371,16.43278,16.777678,176.0942,178.9589996,176.48993,171.05678,171.52563,165.77586,173.7435913,163.01662
2.465959549,4.096103,1.3298682,29.402597,68.10795,16.767475,16.934399,176.45232,178.5189056,177.3725,171.09796,176.15605,167.03654,171.7585144,169.03308
2.514120579,5.2383933,1.022399,27.425585,67.74598,17.079882,17.023874,176.47058,178.681366,177.48587,171.34303,175.85262,167.0865,169.8264008,162.04236
2.564069271,5.6510406,0.6798376,28.978172,66.711975,17.210234,17.110992,178.12234,178.2682037,178.7443,171.46492,174.91939,165.45741,170.9886932,165.13383
2.614185333,5.8771987,0.5308178,30.030338,66.06033,17.114765,17.142246,178.54558,178.3709259,178.59637,172.07779,174.4407,165.09346,171.7644653,166.28339
