time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
5.063625574,39.115673,50.863617,1.0835396,2.1923168,8.204993,7.7232156,177.3012848,177.95567,179.78694,173.69536,148.52159,141.05858,165.62996,158.73737
5.113176346,38.896416,53.325108,3.6655936,4.149212,10.413971,9.771048,177.3540955,175.85938,179.74434,172.8636,151.84775,142.58473,165.97725,157.48647
5.163571835,38.71805,56.115364,6.6751175,7.3396783,11.612807,10.982576,177.0837402,175.84517,179.70525,171.42729,155.13493,142.84091,167.33209,157.88943
5.211516142,39.70764,58.840458,7.689317,12.229982,11.557659,10.907157,176.4018402,176.73785,179.5118,171.46315,157.0847,144.17014,166.208,153.50304
5.258663416,39.620113,73.81008,8.1686125,20.963446,11.423822,10.879508,176.6175842,177.27507,179.85461,171.10797,157.02588,145.28911,166.86493,153.90544
5.320185423,45.09614,87.22199,16.047052,19.988092,11.732569,11.366574,178.111969,175.4039,179.67493,170.84508,164.9445,144.71199,170.72957,152.8978
5.366693258,48.598946,98.97329,21.69839,19.354383,11.970341,11.581141,178.5858307,178.20255,179.90933,174.30106,156.43837,137.8375,170.83762,158.42204
5.413120747,45.006004,119.745094,25.353537,18.587353,12.529644,12.219871,177.870636,177.30847,178.3427,177.41782,147.51534,134.83293,177.43378,141.86856
5.464514732,45.110466,126.061134,27.011091,19.186924,12.403701,12.191941,175.9761353,173.20712,176.05046,179.65393,139.81233,129.01541,177.97183,137.97127
5.513114929,50.062473,115.96214,24.673317,23.460304,7.4131737,7.471652,177.0858307,175.82353,177.91156,179.68039,133.31718,129.61629,173.31093,141.57838
5.563568115,50.256798,118.63916,22.28938,6.880054,4.3027487,4.442105,176.7600861,173.92906,176.81044,178.66089,136.03543,125.06477,172.37025,135.49232
5.614027262,53.073734,108.40999,11.387315,0.8149336,1.42189,1.4498291,175.7332153,173.20782,179.37723,179.72446,133.4933,121.30583,165.10477,143.61685
5.662551641,48.548424,105.630356,11.131035,0.26761076,0.891971,0.89131266,174.2037811,174.78517,175.46078,178.67853,136.46458,121.19561,173.72375,145.65062
5.714137316,64.41347,80.73479,8.167963,9.482925,1.3226382,1.3414425,175.5175018,173.03542,178.49155,179.32275,141.25441,127.27126,144.67226,174.61012
5.762525558,74.458725,80.69902,12.834719,25.666689,0.113640904,0.08392937,173.6888123,174.39182,178.51904,177.8515,125.11724,122.06576,132.8134,140.85986
5.811651707,78.605675,63.104477,37.376434,54.805603,1.240962,1.49933,175.1784973,176.36832,178.85123,177.103,135.25938,123.66497,151.85934,157.38503
5.865719318,66.034706,71.259964,42.109734,54.826572,2.4141104,2.8149424,174.8036499,176.73785,178.93797,177.21054,137.10995,127.08852,151.16083,171.59946
5.913246155,59.177746,63.260143,42.29805,52.27773,2.5372875,2.9417782,176.8825226,174.98619,178.28217,176.42636,139.41275,126.800735,162.24095,163.44376
5.962599754,59.693855,66.730125,39.828922,49.74595,2.8605387,3.2651873,178.4627686,175.84776,177.00467,175.34506,139.92897,126.49101,150.88968,163.00371
6.015203953,52.547485,68.645935,41.230156,50.82099,4.3350825,4.625248,178.9267883,175.89774,177.45438,176.25716,140.38617,130.46878,148.03935,144.76799
6.062212229,41.134182,68.2044,40.805363,51.277843,8.862463,8.320743,179.4397583,177.86649,177.95319,175.9956,149.50449,146.49294,165.26393,159.57307
6.115138054,39.755085,69.21143,39.590294,48.94103,9.29982,8.4650345,179.3562164,177.10503,178.7035,177.7619,148.06435,147.75021,169.79523,164.47758
6.163478613,43.782543,77.22645,27.341988,40.667004,8.933447,8.123325,178.6533051,177.57512,179.26537,177.60297,148.22011,144.64735,174.04634,157.85452
6.213056803,41.476994,76.60872,17.761108,34.463463,7.7433157,6.9797993,178.2471008,178.06923,179.87645,177.16046,152.28343,148.73286,178.03696,158.56903
6.26458478,39.47654,74.22049,16.227318,29.17467,7.95764,7.0266595,177.3843689,179.92087,179.07085,175.00746,159.5091,156.15334,178.41032,161.18187
6.31145072,36.01146,66.40495,15.14525,25.282421,8.050008,7.1616316,177.228363,179.21017,179.1786,174.65111,163.83192,158.3945,178.70955,162.3408
6.363542795,35.506218,64.36262,16.362906,18.004515,10.327006,8.926935,176.0878754,179.13295,178.39197,172.99623,164.4598,159.43962,174.3544,168.119
6.411484957,34.17555,50.4902,17.670979,8.5135,11.414076,9.995286,176.4548035,178.79845,178.4429,172.6926,163.10214,157.93755,174.69872,172.64375
6.461537361,36.194637,47.530308,18.968918,4.8193445,11.410279,10.104467,176.0646667,178.84901,178.18738,172.12338,161.62074,155.65771,177.28516,168.67906
6.512524605,35.25809,45.65435,19.29408,2.6992886,12.090507,10.725264,174.930191,175.92204,178.45084,168.75833,166.1098,161.8186,175.53093,167.46939
