time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
2.56253314,56.879333,54.72351,7.334196,2.5045218,11.052305,10.696267,174.7725983,177.71767,179.31015,176.98987,149.47478,140.66414,157.01012,160.01582
2.611508846,54.780304,55.069332,9.786832,6.1645603,10.931802,10.671084,173.8870697,176.59424,178.40001,176.90047,150.67648,140.53265,158.03534,159.24242
2.661498785,46.27949,57.66276,10.261266,13.797645,10.9852295,10.730144,173.8426208,178.462,178.34435,174.63815,150.72269,142.68143,166.87422,153.9256
2.714088678,43.514095,60.13689,10.05778,17.23865,11.243214,10.988866,174.4863892,178.55869,177.63023,174.65681,151.57317,142.82721,169.37192,150.8611
2.761484385,45.34606,62.425575,12.288478,20.569994,11.595609,11.46214,175.3831787,178.7926,176.95296,174.736,154.83968,142.67421,166.98409,158.34209
2.814029932,47.466064,86.76732,26.101114,22.68013,11.743313,11.901831,176.1577301,178.82346,176.64345,175.1785,150.84113,132.8087,172.88988,156.53809
2.863606691,49.758205,99.82335,28.441172,23.653141,11.710851,11.763029,176.3766174,179.04796,176.40071,176.59004,145.07777,127.29549,176.04942,155.72115
2.913023949,50.745728,107.95688,27.543745,25.31058,9.878244,10.055825,176.3797607,177.86888,176.02373,178.08366,138.15813,121.20118,176.70026,153.97974
2.962521076,51.610477,111.72212,26.462608,25.896137,8.220986,8.223852,176.6815186,176.81082,175.98853,179.68784,133.41064,117.7803,175.52612,158.78337
3.014086962,52.049053,112.86315,16.180447,27.811668,4.3415384,4.410199,175.9714661,174.41351,174.78548,179.27773,129.31241,110.79738,165.03375,158.80365
3.061549664,49.511486,128.58566,13.017584,14.656602,2.9429758,3.0663095,175.7855835,174.18637,172.44063,176.52458,128.47487,111.59321,168.61221,139.9607
3.11412406,98.10148,48.033592,21.231554,21.642818,2.1494024,2.2510762,176.3759766,171.99294,176.21095,178.27182,131.8434,120.05717,124.258156,176.20847
3.162501812,149.55655,48.41862,57.79991,44.426083,1.6260619,1.846208,177.4949951,176.4581,176.49121,177.32057,128.173,118.658005,73.594734,163.42184
3.213100672,133.94482,64.936386,64.25941,59.372578,2.1838195,2.2989948,178.3496704,177.40654,179.23483,177.52788,141.19536,122.76666,85.17304,130.15207
3.263652802,150.73344,84.614204,78.13681,61.88737,2.9056225,3.0525522,178.2981873,176.28294,178.59235,177.6141,144.82207,121.47339,80.902954,129.54176
3.311496735,145.39272,80.10865,81.16487,64.79008,3.1977577,3.188377,177.276886,173.10938,179.4229,179.94064,146.08539,123.645325,70.9027,130.07535
3.361534834,97.406006,98.558365,77.471886,73.09432,3.437409,3.4492924,178.9837341,171.63799,178.73668,179.41048,146.7299,126.98583,126.645645,119.626465
3.411527395,86.232704,130.79428,70.955475,79.47659,4.5039783,4.425229,180,174.0093,178.08286,178.51535,148.61171,139.65141,147.40756,104.53162
3.463494301,62.441776,105.62099,60.24603,70.89346,5.1302257,5.001827,179.0223999,176.79599,177.95656,176.6332,146.90929,138.71054,164.60954,139.79752
3.511511326,56.53417,110.12554,61.746403,70.5827,5.2742176,5.0978904,179.3756561,177.1653,179.03957,175.91931,144.613,138.76228,168.97179,140.16025
3.561521292,52.961246,96.09428,55.578133,66.33395,5.112436,4.975238,179.3305969,177.52827,179.44362,175.67703,148.15627,141.07574,162.44275,143.0165
3.611626863,50.638275,89.63139,46.88228,62.169983,5.960095,5.6462173,178.5780945,177.25212,178.55502,176.5894,147.1358,138.21011,167.04968,156.31157
3.665867329,43.02173,76.3718,27.925764,51.12605,5.9464636,5.594995,178.6295471,175.71106,177.57852,177.66467,146.10289,134.2858,173.41568,163.27563
3.714113474,32.081272,55.52864,15.234598,21.64593,9.421038,8.751898,175.7174072,179.63684,179.1996,175.1549,149.598,153.08058,174.79428,172.84773
3.763539076,31.90943,50.732426,15.630516,10.296653,10.5663,9.711101,173.5884094,178.98373,176.20149,174.05566,157.87692,154.31207,172.75316,171.89967
