time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
1.311539888,33.475952,56.497475,18.048857,12.120112,12.989581,12.112254,175.8297272,177.87007,177.60492,171.89848,166.65297,157.19833,175.67358,152.7479
1.363683224,34.316936,58.975914,18.575907,15.383708,13.733203,12.795349,175.6092834,177.2118,177.97725,170.53825,168.66397,158.16629,179.34567,151.50568
1.411504507,35.264793,62.46437,20.524,18.302416,13.833356,12.84142,176.0290985,177.6356,178.04384,171.43256,165.1047,154.4315,178.93816,151.5656
1.461560726,34.294426,68.56628,22.756754,19.273006,13.942513,13.096898,176.7817841,177.4448,177.93661,172.29909,163.89432,155.18034,179.69545,155.9355
1.511529922,35.277225,74.699715,23.800447,21.481882,13.766495,13.065528,177.0119934,178.23186,177.71877,173.30869,164.33942,153.1059,178.42928,155.09227
1.561520576,43.988598,103.323845,28.343208,20.051071,14.700349,14.238442,177.6542206,179.08936,177.73193,177.72427,153.80556,140.22974,172.34671,153.45918
1.611552238,49.688805,105.78517,31.893187,24.404308,12.610567,12.315262,176.3769531,171.87534,176.43053,177.58046,140.73764,129.37473,168.98889,150.9735
1.662638664,49.482075,108.52379,30.404783,27.301743,10.125275,10.134226,174.7444458,172.4805,174.89418,177.79893,137.0718,122.89173,168.4276,150.71468
1.712982893,47.451435,107.07705,28.333164,27.232649,8.101956,8.287118,174.9695282,174.93745,175.35107,178.82048,136.87756,123.57674,170.90701,147.94061
1.763624907,47.87231,115.8276,18.335644,10.001384,5.1693,5.3150754,175.5493317,171.6452,175.93018,176.87405,132.08646,120.48547,162.50307,137.32133
1.813025475,40.948845,108.1984,13.21839,0.6142119,3.0748527,3.183584,175.1160431,172.93091,177.94556,179.97202,137.99963,117.94678,177.34059,151.13983
1.862541437,62.515503,92.57989,37.251637,53.85474,1.3771454,1.526237,175.6282959,175.25298,176.88347,179.72374,142.41096,130.51344,159.80864,124.59771
1.911501646,61.84233,94.99935,42.056896,57.236534,3.1967168,3.399494,175.972641,172.59566,177.09917,178.61209,144.47978,133.35558,150.56741,122.21385
1.962584734,49.269566,84.52346,47.842316,51.67417,3.9803953,4.2104974,176.0051117,174.5054,177.43051,179.58409,142.35426,132.68282,158.91837,118.158936
2.011543751,55.943893,72.54139,46.77105,49.588726,3.3259013,3.5612295,175.4499207,173.74341,177.09935,179.56477,142.37811,133.80435,152.42264,119.98079
2.062691689,58.65673,77.293365,45.59874,52.835148,3.7500358,3.9809859,174.9326172,174.42482,177.73643,179.51663,138.2512,131.5638,151.33324,124.01557
2.111549377,58.908546,60.41935,44.40982,54.329502,2.98852,3.1598203,175.5301971,174.5982,178.49545,178.18532,137.54564,130.61566,153.80116,137.51784
2.162590027,69.12506,58.924873,38.219116,52.728138,2.2038033,2.2338822,178.0513611,174.89503,178.43639,179.49292,138.36954,128.16347,151.62793,165.86269
2.211520672,63.9024,64.90705,39.324474,52.79212,3.2538354,3.3470843,177.4766235,174.92514,178.7879,179.14865,137.9565,126.91379,155.21475,171.25523
2.263580322,53.003025,66.852005,36.47,51.944534,4.923542,5.100272,175.2898407,174.35367,179.88809,179.3738,141.03305,131.68236,166.82549,157.3378
2.31155467,50.141693,67.478676,33.635487,50.40546,4.814912,4.9352665,174.3233795,173.1346,178.48082,179.4287,140.13724,129.3706,168.03806,149.05362
2.362539053,49.095978,68.51114,28.629557,45.964737,5.405046,5.4523697,176.1555328,173.61293,177.31467,179.72946,139.75749,128.64565,169.7404,147.7335
2.413111448,45.531166,62.546066,12.844692,31.61473,5.64771,5.669876,176.2393799,173.66899,176.82036,179.61589,139.49753,128.31726,173.7107,150.43707
2.461596489,138.8459,56.300858,4.165981,18.90808,6.25539,6.1707273,176.0358582,176.28421,178.33363,177.50941,141.83476,134.31439,143.12456,159.7807
2.511539936,73.18937,53.01684,3.898375,4.151571,9.565134,9.312491,175.9549255,179.0457,179.08336,176.20831,147.55446,138.9074,141.18428,161.97557
