time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
2.040712118,36.87213,58.432976,16.803698,4.4824,9.278049,9.106729,139.96625,162.14659,149.9911,169.58646,133.86568,137.6498,173.82675,151.20755
2.078146935,40.567272,61.564487,20.637297,7.34032,11.260752,11.268042,147.97731,170.27382,154.8161,175.41367,138.82126,146.11469,169.70547,155.96495
2.11608696,40.96423,75.08767,15.555584,12.50388,11.930411,12.306708,151.581,171.65169,156.84741,176.9208,141.69359,144.62358,165.46948,140.89145
2.154072046,40.723328,87.144196,17.516655,13.41801,12.769464,13.301635,152.20729,170.59035,156.85274,176.52666,143.15353,138.88931,168.73758,141.97162
2.192311287,43.03077,101.10252,21.93613,12.818566,13.369831,13.804115,152.17783,173.14026,156.10791,176.09604,144.58313,146.55356,166.06274,148.43274
2.229289293,45.769325,115.95679,22.309017,16.420172,13.186885,13.244919,159.58694,175.78001,160.92647,177.11316,153.61404,156.43747,166.92632,157.56834
2.257822037,49.204067,119.78542,20.683872,19.909578,11.876817,11.850039,168.7333,176.81044,170.24382,179.2124,149.51698,150.92746,162.09975,161.76724
2.308621645,49.196724,119.33979,21.727911,24.440388,9.021861,9.194558,166.9304,177.00356,168.97586,179.52481,146.73503,136.82219,165.25693,162.32266
2.334997416,50.109905,118.72207,15.494008,25.727648,6.0098143,6.1217337,170.58252,173.45341,173.23495,178.20485,137.54842,122.65634,160.90768,168.61879
2.37274456,49.871292,134.4313,10.138961,2.831237,3.0554368,3.1291897,172.61203,171.87169,174.04195,175.1442,114.41789,106.45508,167.32388,139.90863
2.421532154,70.81114,49.736965,22.710321,19.37946,2.7818558,2.9297757,157.92995,162.84918,168.42502,168.38274,125.449585,119.36659,162.1344,176.35712
2.459345341,70.55715,111.43797,16.188362,17.267977,1.1057066,1.4472624,167.29192,168.10814,171.98103,168.14561,123.49148,111.80231,159.6524,106.1594
2.497538328,69.2979,116.96124,18.3754,33.18981,0.08846932,0.38765386,161.79758,167.54771,167.95273,165.8962,125.05827,112.55983,159.60535,106.03911
2.535598278,82.96978,65.03553,46.99649,50.162247,0.8374339,0.6977351,161.17683,168.88533,167.57568,167.67894,125.0162,120.82214,171.2539,137.28406
2.574169874,106.438255,48.268917,62.293625,72.25578,0.22468434,0.5528469,166.75523,168.46347,171.59439,165.24881,126.79358,112.539986,148.54634,140.85756
2.601099968,120.96439,49.579784,60.724304,70.92189,3.1069639,3.7171001,170.07764,170.32635,172.92337,167.87604,122.48601,101.85385,133.84506,169.5001
2.645249128,133.585,53.698063,68.05378,67.04385,2.225983,2.5428357,171.76764,170.51234,172.00008,168.7905,120.658165,110.95503,102.12656,172.42345
2.678429365,133.00111,54.810066,71.53553,67.7114,2.4410398,2.6685114,171.47292,168.98965,171.29346,167.59206,116.233574,111.79105,120.12612,137.87738
2.71795392,156.79974,57.694836,76.75349,66.87177,2.4484856,2.7581117,164.8323,169.88187,166.65959,168.30019,112.60829,111.82526,113.82181,134.34764
2.754724741,172.21164,49.326286,73.03513,71.43318,2.137166,2.4015107,162.5826,169.4155,164.37445,168.6462,114.14147,115.71564,144.43385,130.73363
2.795590162,139.81076,41.04499,88.79198,75.91973,0.5374121,0.7041557,156.1162,166.94106,160.7373,171.05826,117.95113,117.86514,86.34531,145.88243
2.83600831,166.17188,43.33295,86.003365,74.59016,0.40299773,0.3971285,155.23378,166.71158,157.7942,170.5814,120.55906,118.27814,84.219025,165.34804
2.872745752,159.95323,46.840897,82.82584,74.2762,2.9472961,2.9765744,153.5486,163.79016,159.30627,168.4124,121.01299,120.34341,68.56582,158.67554
2.911371708,68.51568,48.453743,56.388706,71.01255,3.6036959,3.594175,152.46504,162.94148,159.39282,168.06114,122.77619,125.99858,167.8281,158.51604
2.949629784,39.80038,56.75965,29.005337,57.908096,7.1175303,7.006559,143.60245,163.26599,153.98872,169.92352,136.19919,131.00806,175.89473,143.18776
2.988746643,30.833893,55.027233,27.54108,49.24856,7.357968,7.1247206,145.18173,164.91753,154.55876,172.04462,134.40076,132.50473,175.6668,150.53224
3.036391973,22.315657,53.3578,25.896006,41.72677,8.441036,7.9812617,148.53598,169.25415,156.04132,174.40132,138.19414,135.0839,175.94714,156.5433
3.068472147,157.05417,50.9313,19.41555,32.532948,9.763056,9.0908985,152.57002,172.28534,159.1534,175.70699,141.34143,140.15216,170.48093,157.6748
3.108403683,162.59668,49.487267,13.56521,25.13249,10.473016,9.770524,154.25603,173.50691,160.05609,175.6681,141.64595,140.45096,63.472233,156.89938
3.14804101,169.63377,49.418365,11.347723,24.176228,10.616745,9.9286,163.58499,172.41275,168.8534,175.52585,143.78658,140.7483,143.93372,161.74126
3.187361002,20.964935,54.225777,8.20516,21.238127,10.8809,10.356683,160.35568,171.46686,166.49356,175.18983,143.11334,138.05319,175.40039,157.07516
3.236495972,22.679024,56.125862,7.879754,19.36418,10.897027,10.418335,159.3202,171.29134,166.73605,175.3226,145.06686,137.90135,178.28523,153.36383
3.267864227,23.829144,59.278355,8.977609,15.393128,11.116148,10.679713,169.04544,171.2149,173.76028,176.7728,145.50172,138.42255,177.6708,152.15607
3.308797598,24.31545,60.88967,11.919702,9.383137,11.503364,11.042075,163.24094,171.79321,168.57481,177.62535,143.90462,139.98257,178.10008,152.92485
