time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
9.101191282,35.88331985,51.524963,5.083573,16.978125,8.666894,7.6773634,176.55144,176.17136,178.8570251,171.92117,152.76242,148.03271,163.49727,158.46239
9.149968386,35.21588516,51.639843,0.89438087,20.484446,8.475561,7.6261697,177.14076,175.00655,178.0351563,171.42403,154.15067,149.00551,171.31923,155.88527
9.201106787,82.78830719,54.763077,31.350437,6.821046,10.549003,10.714616,178.99594,178.31076,179.8916473,172.11694,162.51009,158.76749,174.55078,162.73122
9.252268314,139.570816,83.402115,64.11796,21.68393,11.470781,11.800377,178.80612,179.03024,179.6108246,173.38167,161.6036,158.011,178.54115,178.02473
9.301184654,168.6528778,78.88673,83.81691,20.734083,12.726422,13.082346,179.53986,178.43114,179.7814789,172.84186,165.9913,162.55476,175.03804,164.58728
9.351136446,155.3584595,79.238144,78.22059,24.523333,13.177481,13.7436,179.72023,179.29361,179.6363068,173.5323,164.57623,160.11766,173.30272,166.14917
9.402151346,143.5784302,64.03812,72.24466,14.642639,13.476502,13.954387,178.74944,179.4655,179.720932,173.87085,163.70161,157.20132,177.32597,167.60162
9.452213287,131.486496,56.69667,66.407265,10.267283,13.803286,14.200724,178.58334,179.50345,179.9160614,174.36276,163.4715,158.15366,177.82866,166.61772
9.501232862,119.6089172,43.978935,57.385937,13.794681,13.666787,14.097256,178.34673,176.34541,179.6304321,171.14809,169.24396,163.24849,174.66692,171.62543
9.549978495,102.8463135,34.951824,48.856403,23.822575,13.496169,13.84746,178.76726,176.1772,179.6272583,170.97386,169.7287,159.22476,176.4868,171.1008
9.601305962,93.20587921,35.356018,39.485367,20.122894,13.124043,13.729822,178.15718,174.65216,178.5935974,170.5393,166.12558,154.49896,177.43776,169.38466
9.652149439,85.92253876,35.411743,35.143063,20.999155,12.4133005,12.749362,176.77687,176.56816,178.1061554,171.19165,162.23026,147.42671,175.16522,170.77104
9.701142073,79.94255829,37.843918,33.733227,16.926601,11.447093,11.5676775,175.8678,177.11296,177.9499512,171.12755,157.12706,141.08205,169.86371,173.48737
9.750080824,73.80082703,39.095398,31.290857,13.721273,10.428999,10.547101,173.61926,178.22667,177.5697937,171.50156,156.42606,142.68541,173.67795,178.3453
9.802226067,48.41335297,41.77086,28.462183,12.833427,10.3034525,10.035855,174.60504,176.51225,179.8404999,170.98985,158.90167,146.52325,158.52596,160.25383
9.849864244,42.28724289,45.734592,26.312256,12.123528,11.304285,10.556313,176.8824,178.47838,179.5126038,174.25415,160.51547,149.7995,161.4666,147.20992
9.901206255,46.68253708,49.313908,17.026068,12.692288,9.529204,8.894392,177.49327,176.71973,178.6908875,171.9899,154.08932,140.22995,168.92677,178.64838
9.952154398,38.8140831,50.509842,14.883988,13.459082,9.178429,8.464547,177.60541,176.21503,178.3230896,170.9761,151.99103,141.7968,171.83595,173.9071
