time,L_elbow,R_elbow,L_shoulder,R_shoulder,trunk_forward,trunk_sidebend,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,L_wrist,R_wrist
1.24796319,9.134392,10.170766,37.2589,16.792116,16.588972,17.49681,176.4646301,178.0805,179.13997,170.99,178.37778,163.40042,178.8934,173.1591339
1.299009562,8.969048,8.524842,37.857887,20.572464,16.49372,17.405493,176.3743591,177.74995,179.58833,172.0613,179.13565,164.95917,178.04514,172.8831635
1.351056337,8.732146,8.20784,37.770348,23.496538,16.956944,17.500036,176.4609375,177.0943,179.53018,172.81673,177.6772,164.69893,177.28098,169.235199
1.400078058,8.162769,8.603958,36.709106,24.689959,17.134077,17.327715,176.8367004,177.56448,179.7897,172.74678,177.05782,165.0927,176.85277,167.2842407
1.448053837,6.783129,8.403075,33.797684,25.526752,17.123327,17.100973,177.2828522,178.34447,179.60484,172.7329,175.51459,165.40541,174.77148,169.7750244
1.499965668,5.182814,4.9339166,30.228664,27.426876,16.907284,16.89187,177.4942169,178.97073,179.1889,173.31516,173.94475,166.16983,171.63582,180
1.551092386,2.3486872,3.7934372,24.488903,34.514114,16.60375,16.61946,177.8759613,179.20229,178.1182,173.84763,170.12195,168.93823,174.93399,168.7071228
1.602195024,5.3181343,7.7434173,23.71499,38.69195,16.382496,16.222918,178.7007904,179.50227,178.04955,173.98157,169.32079,170.10942,174.89311,165.0948029
1.650064468,7.6548095,8.321049,22.886835,40.595123,16.353376,16.255623,178.7194366,179.31557,177.61246,174.68985,168.98497,170.24243,178.68373,166.2978821
1.700033188,8.59128,8.795668,22.917444,41.500477,16.281723,16.327412,178.7345123,179.54889,177.33214,174.69861,167.9927,171.59077,179.89165,166.6508484
1.747997284,9.941111,8.948719,22.906322,40.47552,16.061155,16.12587,178.8565216,179.88809,176.80806,174.62352,167.27159,172.44118,179.15628,166.8177185
1.800026178,10.222121,8.584029,22.229994,38.890373,15.898798,15.986291,178.9895172,179.74977,176.39745,174.69739,167.08736,172.69351,178.99303,167.1011047
1.85107398,18.704073,7.2335362,11.4606285,33.63396,15.627868,15.935261,179.8102417,179.50702,177.32292,174.89679,163.20358,173.57309,177.33376,169.3875275
1.897979498,19.773354,10.013961,11.597392,30.5952,15.431486,15.969008,179.5902557,178.52501,177.01915,175.20801,164.60516,177.31714,175.97246,171.0108337
1.948088408,19.453087,12.547247,13.341785,30.024014,15.539518,16.073544,179.3391266,178.00012,176.60793,175.79587,164.83618,179.9802,176.50754,170.4631348
1.999053478,18.711014,16.157108,14.489166,28.712345,15.471365,16.210823,179.1021118,176.80695,175.90666,175.98218,159.8278,178.2044,175.70044,163.8123932
2.048060656,17.857248,50.630524,16.407688,27.00912,15.165877,15.966092,179.5480194,176.14851,174.73306,175.51736,157.36551,177.82831,173.83981,135.9235382
2.099963188,17.342052,158.33682,18.810276,25.379923,15.629986,16.479338,179.3406067,175.87169,175.6479,175.0093,156.65817,178.74944,171.09848,75.6261673
2.14905715,10.848143,152.98059,25.293926,19.22019,15.761839,17.951614,176.1839142,178.45845,173.35384,173.30235,170.79268,169.83891,177.40866,97.0069046
2.197953939,6.2767606,68.06741,28.442627,18.887167,16.014465,17.927565,175.8528137,179.73238,175.19807,173.3669,171.73622,168.21944,176.91866,140.3326721
2.247982502,1.2212522,29.844336,31.319927,18.366621,16.18765,17.870596,176.2205048,179.65112,177.29042,172.5727,172.75743,167.83781,172.39662,148.4035797
2.300094843,2.081965,16.845064,32.14762,14.087493,16.580284,17.818932,176.5079956,179.24825,179.70193,170.9787,173.654,168.2299,175.33368,168.6825867
2.348050594,3.5492787,12.909696,33.83434,12.226999,16.81743,17.837748,176.9879303,179.8002,179.31528,170.41594,172.17271,167.8432,179.0793,170.3410797
2.397984028,4.1782794,12.924927,33.711887,11.479141,16.657148,17.627365,177.1410217,179.59602,179.20229,169.78523,171.38275,169.08444,179.35593,170.1441345
2.448083639,5.4548855,12.598219,32.348522,9.722573,16.492804,17.52521,176.4459686,179.69801,179.72588,170.06662,174.24588,165.8242,179.66896,177.4421234
2.497960091,6.4994154,13.852909,33.020893,10.28721,16.786654,17.706867,176.726181,179.87805,179.34807,170.2798,174.64938,165.5814,179.84172,173.636734
2.54797101,7.1822567,14.608624,33.41255,10.809716,16.891012,17.688038,177.1595001,179.42221,179.26483,170.31004,174.35995,165.95152,179.53395,171.6844788
2.600005865,7.311985,14.2926035,33.259872,12.8936205,17.004536,17.812534,177.220108,179.60237,179.4042,170.80365,173.82408,166.37582,178.86168,171.0196533
